date,Equity,Quality,Duration,Gold
2023-01-03,-0.00666007,-0.00978888,-0.00233568,-0.02346162
2023-01-04,-0.00450073,-0.00097723,-0.00014393,0.01160624
2023-01-05,-0.00539404,0.00289423,0.00337572,-0.00661579
2023-01-06,-0.00374959,-0.00404300,-0.00340005,-0.01798823
2023-01-09,-0.00183611,-0.00038589,0.00602461,-0.00785631
2023-01-10,-0.00664323,0.00126342,0.00414490,0.00089120
2023-01-11,-0.01189267,-0.00287429,0.00358759,-0.01551902
2023-01-12,0.00877602,0.00014928,-0.00814983,-0.00627738
2023-01-13,-0.00484620,-0.00214005,-0.00525577,0.00393699
2023-01-16,-0.01896428,-0.01536286,0.00053263,-0.00225256
2023-01-17,-0.00266936,-0.00569928,0.00384564,0.00112379
2023-01-18,0.00011665,-0.00467675,0.00309109,-0.00134208
2023-01-19,0.00918999,-0.00143972,-0.00728220,0.00622148
2023-01-20,-0.01269986,-0.01675788,0.00100706,-0.00724809
2023-01-23,-0.00487642,-0.00504542,0.00132835,0.00203170
2023-01-24,-0.00208868,-0.00050317,0.00409199,0.01624759
2023-01-25,-0.00326403,-0.00908902,-0.00187667,0.00260691
2023-01-26,0.00235040,-0.00388318,0.00468823,-0.00965380
2023-01-27,0.01006073,-0.00005718,0.00788977,-0.00310596
2023-01-30,-0.01409819,-0.01332978,0.00351933,0.00468378
2023-01-31,-0.00408646,-0.00620712,-0.00909741,-0.00014780
2023-02-01,-0.00045951,0.00832013,0.00069352,0.00059603
2023-02-02,-0.00612600,-0.00827603,-0.00270617,0.00140436
2023-02-03,-0.01588748,-0.00588584,0.00584624,-0.00641199
2023-02-06,0.01134794,0.01096945,-0.00342571,0.00078970
2023-02-07,0.00478101,-0.00379258,0.00000561,0.00240953
2023-02-08,-0.01001325,0.00515720,0.00113832,-0.00872418
2023-02-09,0.00677713,0.00596830,0.00203897,-0.00453746
2023-02-10,0.00664981,0.00847072,0.00437741,-0.00416237
2023-02-13,0.00318395,-0.00655333,0.00402388,0.00828716
2023-02-14,-0.00631082,-0.00486938,0.00250987,0.01492839
2023-02-15,0.00579515,0.00623098,-0.00547424,0.00396693
2023-02-16,-0.00901984,-0.00867933,0.00351895,0.01497304
2023-02-17,0.00107983,-0.00221218,0.00021647,-0.01138791
2023-02-20,-0.00014660,-0.00016564,-0.00219177,-0.01356617
2023-02-21,0.00621728,0.00679772,0.00526373,0.00185017
2023-02-22,0.03441114,0.02134653,-0.00172345,0.00316235
2023-02-23,-0.00265903,0.00117056,0.00034701,0.01688887
2023-02-24,0.01657628,0.00455024,0.00348352,-0.00212101
2023-02-27,-0.00850761,-0.00268200,-0.00239298,0.00111634
2023-02-28,0.00460554,-0.00176083,0.00963876,-0.00848981
2023-03-01,0.00805531,0.00333997,-0.00090932,0.00753230
2023-03-02,0.00686070,0.00887745,-0.00352420,-0.00206390
2023-03-03,-0.01600672,-0.00896252,0.00109017,0.00872326
2023-03-06,-0.02362684,-0.00786049,0.00969377,0.02249482
2023-03-07,0.00103669,0.00517409,0.00017117,-0.00127707
2023-03-08,0.01474492,0.00087338,-0.00131060,-0.01256340
2023-03-09,-0.00452331,0.00244506,0.00820872,0.00899121
2023-03-10,-0.00199534,-0.00104776,0.00775113,0.00956106
2023-03-13,0.01602525,0.00973662,-0.00968954,-0.00592088
2023-03-14,-0.01854926,-0.01350802,0.00887899,0.00091897
2023-03-15,0.00708152,0.00778569,0.00164462,-0.00134915
2023-03-16,-0.01174416,-0.00637788,0.00051040,-0.00581956
2023-03-17,-0.00187647,-0.00244643,-0.00343580,-0.00540897
2023-03-20,0.00201901,0.00102952,-0.00143513,-0.01774271
2023-03-21,0.02120701,0.01688616,-0.00362467,-0.00808743
2023-03-22,0.02863551,0.01513735,0.00317885,0.00477566
2023-03-23,-0.00849443,-0.00684925,-0.00631701,-0.01842574
2023-03-24,0.02089837,0.00105224,0.00445190,0.00261824
2023-03-27,-0.00318875,-0.00411426,-0.00064330,-0.01107440
2023-03-28,0.00457913,-0.00662853,0.00280700,0.00632374
2023-03-29,-0.00696629,-0.01434570,-0.01064813,-0.00673045
2023-03-30,0.00980030,0.00893543,-0.00513998,-0.00836641
2023-03-31,-0.01600472,-0.01442348,-0.00256125,-0.00433012
2023-04-03,-0.00692727,-0.00930908,-0.00203807,0.00255574
2023-04-04,0.00792547,0.00920430,0.00497954,0.00656780
2023-04-05,-0.01592354,-0.01590615,0.00222815,0.01871755
2023-04-06,-0.00762333,-0.00467802,-0.00262830,-0.01333814
2023-04-07,0.00890019,0.00092510,0.00573898,0.00210709
2023-04-10,-0.03328154,-0.02168320,-0.00394914,0.00008687
2023-04-11,0.00137727,0.00885077,0.00297560,0.00797732
2023-04-12,0.00108300,0.00009310,0.00486452,0.01422375
2023-04-13,-0.01669156,-0.01198137,-0.00010683,0.00641988
2023-04-14,0.01136289,0.00755552,-0.00526195,0.00233475
2023-04-17,-0.00247126,0.00662458,-0.00278499,0.00146334
2023-04-18,0.01867534,0.01204427,-0.00255178,-0.00643438
2023-04-19,0.00300088,-0.00142036,-0.00633546,-0.00477378
2023-04-20,0.00599581,0.01192725,0.00367632,0.01492243
2023-04-21,0.00136161,0.00289231,-0.01180251,-0.01011483
2023-04-24,-0.00349658,0.00028476,-0.00659038,0.00438220
2023-04-25,-0.01819084,-0.02192187,0.00032860,-0.00475767
2023-04-26,-0.00848060,-0.00418484,0.00354055,0.00182223
2023-04-27,0.01268370,-0.00240992,-0.00102067,-0.00151481
2023-04-28,0.01782355,0.00952872,-0.00993269,-0.01626725
2023-05-01,0.02059770,0.01278046,-0.00384991,-0.00378607
2023-05-02,-0.00194683,-0.00418596,-0.00072397,0.01700776
2023-05-03,-0.00105538,0.00641516,0.01157896,0.01806698
2023-05-04,-0.00006516,-0.00084784,0.01116539,0.01863582
2023-05-05,0.00689027,0.00608080,-0.00811435,-0.01100867
2023-05-08,0.00602851,0.00449683,-0.00003975,-0.00191919
2023-05-09,-0.00648856,0.00478452,0.00404923,-0.00494717
2023-05-10,-0.01970192,-0.01634753,-0.00796033,-0.00183180
2023-05-11,-0.00461980,-0.00770280,-0.00552185,-0.00017557
2023-05-12,-0.01452907,-0.00711033,-0.00893923,-0.01142573
2023-05-15,0.00090802,-0.00213570,0.00037929,0.00128081
2023-05-16,0.01216931,0.00970524,-0.00317155,0.01397309
2023-05-17,0.00674584,-0.00210545,-0.00628995,-0.01166470
2023-05-18,-0.01068630,-0.00515225,-0.00380650,0.00105343
2023-05-19,-0.00431186,0.00095891,0.00646735,0.00798574
2023-05-22,-0.00349224,-0.00534114,0.00503710,0.00781912
2023-05-23,-0.00750488,-0.00573353,-0.00033124,-0.00747296
2023-05-24,-0.00811712,-0.00750106,-0.00338661,0.00755588
